;mouse;rec_date;FOV;cond;roi_trial_dict;comments
0;109558_Vb_male;20240311;1;40;{1:[3, 4, 5, 8, 10]};
1;109558_Vb_male;20240311;1;140;{1:[1, 2, 8, 9]};
2;109558_Vb_male;20240311;2;40;{1:[4, 5, 7, 8, 9, 10]};
3;109558_Vb_male;20240311;2;140;{1:[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]};
4;109558_Vb_male;20240311;3;40;{1:[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]};
5;109558_Vb_male;20240311;3;140;{1:[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]};
6;109558_Vb_male;20240311;4;40;{1:[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]};
7;109558_Vb_male;20240311;4;140;{1:[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]};
8;109558_Vb_male;20240308;1;140;{1:[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]};
9;109558_Vb_male;20240308;2;140;{1:[2, 5, 6, 8, 9, 10, 11, 14, 16, 17, 18, 19]};
10;109558_Vb_male;20240308;2;140;{1:[2, 5, 6, 8, 9, 10, 11, 14, 16, 17, 18, 19]};
11;109558_Vb_male;20240308;3;140;{1:[6, 7, 14, 15, 16]};
12;109567_Vb_male;20240311;1;40;{1:[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]};
13;109567_Vb_male;20240311;1;140;{1:[4, 8, 9]};
14;109567_Vb_male;20240311;2;40;{1:[3, 5, 6, 7, 8]};
15;109567_Vb_male;20240311;2;140;{1:[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]};
16;109567_Vb_male;20240311;3;40;{1:[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]};
17;109567_Vb_male;20240311;4;40;{1:[2, 3, 6, 7, 8, 9, 10]};
18;109567_Vb_male;20240311;4;140;{1:[1, 2, 3, 4, 9, 10]};
19;109567_Vb_male;20240311;5;40;{1:[7, 8, 9]};
20;109567_Vb_male;20240311;5;140;{1:[1, 2, 3, 10]};
21;109567_Vb_male;20240311;6;40;{1:[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]};
22;109567_Vb_male;20240311;6;140;{1:[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]};
23;109567_Vb_male;20240411;1;40;{1:[6, 7, 8, 10]};
24;109567_Vb_male;20240411;1;140;{1:[2, 3, 5, 8, 9, 10]};
25;109567_Vb_male;20240411;2;40;{1:[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]};
26;109567_Vb_male;20240411;2;140;{1:[2, 3, 4, 5, 8, 9, 10]};
27;109567_Vb_male;20240411;3;40;{1:[1, 6, 7, 8, 9]};
28;109567_Vb_male;20240411;3;140;{1:[1, 3, 5]};
29;109567_Vb_male;20240411;4;40;{1:[4, 5, 7, 9]};
30;109567_Vb_male;20240411;4;140;{1:[7, 9, 10]};
31;109567_Vb_male;20240411;5;40;{1:[1, 6, 7]};
32;109567_Vb_male;20240411;5;140;{1:[1, 3, 4, 5, 6, 7]};
33;109567_Vb_male;20240424;2;40;{1:[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]};
